UMLS:C3495144:T048:DISO	Apraxias, Articulatory
UMLS:C3494778:T047:DISO	Perineuritic orbital pseudotumor
UMLS:C3494777:T047:DISO	Myositic orbital pseudotumor
UMLS:C3494776:T047:DISO	Lacrimal orbital pseudotumor
UMLS:C3494775:T047:DISO	Periscleritic orbital pseudotumor
UMLS:C3494774:T047:DISO	Basilar meningitis
UMLS:C3494738:T190:DISO	Dissection of basilar artery
UMLS:C3494737:T190:DISO	Dissecting aneurysm of anterior cerebral artery
UMLS:C3494736:T190:DISO	Dissecting aneurysm of posterior cerebral artery
UMLS:C3494735:T190:DISO	Dissecting aneurysm of middle cerebral artery
UMLS:C3494733:T190:DISO	Partial duplication of ureter
UMLS:C3494732:T047:DISO	Refractory acute confusional migraine
UMLS:C3494731:T048:DISO	Primary degenerative dementia of the Alzheimer type, senile onset, with behavioral disturbance
UMLS:C3494717:T048:DISO	Catha edulis abuse
UMLS:C3494652:T048:DISO	Severe dementia
UMLS:C3494623:T048:DISO	Mild dementia
UMLS:C3494618:T047:DISO	Pyogenic bacterial arthritis of wrist
UMLS:C3494613:T047:DISO	Pyogenic bacterial arthritis of pelvis
UMLS:C3494612:T047:DISO	Pyogenic bacterial polyarthritis
UMLS:C3494611:T047:DISO	Pyogenic bacterial arthritis of foot
UMLS:C3494609:T047:DISO	Asymptomatic carotid artery stenosis
UMLS:C3494608:T047:DISO	Pyogenic bacterial arthritis of knee
UMLS:C3494607:T191:DISO	Metastasis to liver from adenocarcinoma
UMLS:C3494606:T191:DISO	Metastasis to lung from adenocarcinoma
UMLS:C3494604:T048:DISO	Dementia with behavioral disturbance
UMLS:C3494591:T047:DISO	Chronic kidney disease stage 2 due to hypertension
UMLS:C3494590:T047:DISO	Chronic kidney disease stage 3 due to hypertension
UMLS:C3494589:T047:DISO	Chronic kidney disease stage 5 due to hypertension
UMLS:C3494588:T047:DISO	Chronic kidney disease stage 4 due to hypertension
UMLS:C3494580:T047:DISO	Circadian rhythm disorder caused by drug
UMLS:C3494578:T047:DISO	Dysplasia of limb
UMLS:C3494576:T047:DISO	Pyogenic bacterial arthritis of hip
UMLS:C3494575:T047:DISO	Pyogenic bacterial arthritis of elbow
UMLS:C3494572:T047:DISO	Pyogenic bacterial arthritis of patella
UMLS:C3494566:T047:DISO	Diabetic erectile dysfunction associated with type 1 diabetes mellitus
UMLS:C3494560:T047:DISO	Intractable retinal migraine
UMLS:C3494559:T047:DISO	Intractable allergic migraine
UMLS:C3494551:T047:DISO	Chronic kidney disease stage 1 due to hypertension
UMLS:C3494541:T191:DISO	Osteoid osteoma of radius
UMLS:C3494540:T191:DISO	Osteoid osteoma of humerus
UMLS:C3494539:T191:DISO	Osteoid osteoma of tibia
UMLS:C3494538:T191:DISO	Osteoid osteoma of femur
UMLS:C3494537:T191:DISO	Osteoid osteoma of pelvis
UMLS:C3494536:T191:DISO	Osteoid osteoma of fibula
UMLS:C3494535:T191:DISO	Osteoid osteoma of talus
UMLS:C3494534:T046:DISO	Sequela of cerebrovascular accident
UMLS:C3494533:T047:DISO	Pyogenic bacterial arthritis of hand
UMLS:C3494532:T047:DISO	Pyogenic bacterial arthritis of shoulder
UMLS:C3494522:T047:DISO	Premature ovarian failure 1|FMR1-Related Disorders|FMR1-Related Primary Ovarian Insufficiency|HYPERGONADOTROPIC OVARIAN FAILURE, X-LINKED|PREMATURE OVARIAN FAILURE, X-LINKED|Primary ovarian insufficiency, fragile X-associated
UMLS:C3494506:T047:DISO	Pseudohypoparathyroidism type I A
UMLS:C3494489:T047:DISO	Autoimmune polyendocrine syndrome, type 1
UMLS:C3494473:T047:DISO	Myringosclerosis
UMLS:C3494444:T047:DISO	Pneumorrhachis, Subarachnoid
UMLS:C3494443:T047:DISO	Pneumorrhachis, Epidural
UMLS:C3494426:T190:DISO	Mandibular Retrusions
UMLS:C3494425:T190:DISO	Mandibular Retroposition
UMLS:C3494424:T190:DISO	Maxillary Retrusions
UMLS:C3494423:T190:DISO	Maxillary Retroposition
UMLS:C3494422:T019:DISO	Retrognathia|Receding chin|Receding lower jaw|Receding mandible|Retrogenia|Retrognathia of lower jaw|Weak chin|Weak jaw
UMLS:C3494419:T190:DISO	Dentofacial Deformities
UMLS:C3494374:T047:DISO	Non-Filarial Lymphedema
UMLS:C3494347:T191:DISO	Benign Clear Cell Adenofibroma
UMLS:C3494346:T191:DISO	Borderline Clear Cell Adenofibroma
UMLS:C3494250:T047:DISO	Drug-induced Linear IgA Bullous Dermatosis
UMLS:C3494249:T047:DISO	Linear IgA IgG Bullous Dermatosis
UMLS:C3494187:T047:DISO	Reduced factor VIII activity|Factor VIII deficiency
UMLS:C3494186:T047:DISO	As, Autosomal Hemophilia
UMLS:C3494181:T191:DISO	Glomus Tumors, Familial, 1
UMLS:C3494175:T019:DISO	Fused mandibular incisors|''DOUBLE TOOTH''|Double tooth|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3494162:T047:DISO	Ovarian Hyperstimulation Syndrome, Familial Gestational Spontaneous
UMLS:C3494153:T047:DISO	Bigfoot Disease
UMLS:C3494152:T047:DISO	Endemic Non-Filarial Elephantiasis
UMLS:C3494151:T047:DISO	Endemic Elephantiasis
UMLS:C3493776:T047:DISO	Hypothyroidism, congenital, nongoitrous, 1|Congenital Hypothyroidism|HYPOTHYROIDISM DUE TO UNRESPONSIVENESS TO THYROTROPIN|HYPOTHYROIDISM, CONGENITAL, DUE TO TSH RESISTANCE|HYPOTHYROIDISM, NONAUTOIMMUNE|THYROID-STIMULATING HORMONE, RESISTANCE TO|THYROTROPIN RESISTANCE|TSH RESISTANCE|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3492944:T047:DISO	Lentiginosis, inherited patterned|LENTIGINOSIS PROFUSA|LENTIGINOSIS, DIFFUSE|LENTIGINOSIS, GENERALIZED|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3492932:T047:DISO	Lactic Acidosis, Congenital Infantile, Due To LAD Deficiency
UMLS:C3490459:T047:DISO	Benign Pseudohypertrophic Muscular Dystrophy
UMLS:C3489856:T047:DISO	Cold Hypersensitivity
UMLS:C3489796:T047:DISO	Thyroid hormone resistance, generalized, autosomal recessive|GTHR|REFETOFF SYNDROME|THYROID HORMONE UNRESPONSIVENESS|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3489795:T047:DISO	Hyperimmunoglobulin E syndrome|AD hyperimmunoglobulin E syndrome|Autosomal Dominant Hyper IgE Syndrome|HIES autosomal dominant|HYPER-IgE RECURRENT INFECTION SYNDROME, AUTOSOMAL DOMINANT|Hyper Ig E syndrome, autosomal dominant|Hyperimmunoglobulin E recurrent infection syndrome, autosomal dominant|Job syndrome|Job's Syndrome
UMLS:C3489794:T047:DISO	Palmoplantar Keratoderma, Vorner Type
UMLS:C3489793:T047:DISO	46,XY Gonadal Dysgenesis, Complete or Partial, With or Without Adrenal Failure
UMLS:C3489792:T047:DISO	Emery-Dreifuss Muscular Dystrophy 5
UMLS:C3489791:T047:DISO	Parkinson Disease, Familial, Type 1
UMLS:C3489789:T047:DISO	Progressive familial intrahepatic cholestasis 2
UMLS:C3489788:T047:DISO	Arrhenoblastoma--Thyroid Adenoma
UMLS:C3489787:T047:DISO	Pituitary hormone deficiency, combined 3|Deafness, sensorineural with pituitary dwarfism|LHX3-Related Combined Pituitary Hormone Deficiency|Pituitary hormone deficiency, combined with rigid cervical spine|WBP syndrome|Winkelman Bethge Pfeiffer syndrome|Winkelmann-Bethge-Pfeiffer syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3489771:T047:DISO	Keratosis Palmaris et Plantaris Familiaris
UMLS:C3489734:T047:DISO	Anti-plasmin deficiency, congenital
UMLS:C3489733:T047:DISO	Oculomotor apraxia|Defective or absent horizontal voluntary eye movements|Ocular motor apraxia
UMLS:C3489732:T047:DISO	Familial mesangial sclerosis
UMLS:C3489730:T047:DISO	Alveolar hypoventilation syndrome
UMLS:C3489728:T047:DISO	Familial intrahepatic cholestasis of pregnancy
UMLS:C3489727:T047:DISO	Pruritic urticarial papules and plaques of pregnancy, familial
UMLS:C3489726:T019:DISO	Geleophysic dysplasia
UMLS:C3489725:T047:DISO	Band-like calcification with simplified gyration and polymicrogyria|PSEUDO-TORCH SYNDROME|PSEUDO-TORCH SYNDROME 1|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3489724:T047:DISO	Aicardi Goutieres syndrome 2
UMLS:C3489723:T190:DISO	Familial absence of the patella
UMLS:C3489704:T047:DISO	Vision Disability
UMLS:C3489701:T048:DISO	Human Coprophagia
UMLS:C3489630:T191:DISO	Isolated Familial Somatotropinoma
UMLS:C3489628:T047:DISO	Thrombocytosis, Autosomal Dominant
UMLS:C3489627:T047:DISO	Stuttering, familial persistent 1|STAMMERING|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3489626:T047:DISO	Cerebelloparenchymal Disorder V
UMLS:C3489576:T048:DISO	Sexual Violence
UMLS:C3489572:T047:DISO	Idiopathic Extrahepatic Biliary Atresia
UMLS:C3489571:T047:DISO	Familial Extrahepatic Biliary Atresia
UMLS:C3489532:T047:DISO	Cone Rod Dystrophy 2
UMLS:C3489529:T019:DISO	Selective tooth agenesis 1|HYPODONTIA/OLIGODONTIA 1|SECOND PREMOLARS AND THIRD MOLARS, ABSENCE OF|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3489447:T047:DISO	Hyperkalemic Periodic Paralysis Type 2
UMLS:C3489415:T047:DISO	Dipetalonema perstans Infection
UMLS:C3489414:T047:DISO	Acanthocheilonema perstans Infections
UMLS:C3489413:T191:DISO	Lipomatosis, multiple|LIPOMATOSIS, FAMILIAL MULTIPLE|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3489398:T191:DISO	Peripheral neuroepithelioma
UMLS:C3489396:T047:DISO	Isolated hypogonadotropic hypogonadism
UMLS:C3489395:T047:DISO	Hyperchylomicronemia With Hyperprebetalipoproteinemia, Familial
UMLS:C3489393:T190:DISO	Hiatus hernia
UMLS:C3484357:T047:DISO	Hermansky-Pudlak syndrome 4|Hermansky-Pudlak Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3472711:T047:DISO	Spinocerebellar ataxia 36|Spinocerebellar Ataxia Type36|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3472614:T191:DISO	Plasmablastic Lymphoma
UMLS:C3472585:T047:DISO	Congenital monosaccharide malabsorption
UMLS:C3469606:T047:DISO	Pseudohypoaldosteronism type 2E|Pseudohypoaldosteronism Type IIE|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3469605:T047:DISO	Pseudohypoaldosteronism type 2D|FAMILIAL HYPERKALEMIC HYPERTENSION|PSEUDOHYPOALDOSTERONISM, TYPE IID, AUTOSOMAL DOMINANT OR RECESSIVE|Pseudohypoaldosteronism Type IID|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3469527:T047:DISO	Fanconi anemia, complementation group G|FANCG-Related Fanconi Anemia|Fanconi Anemia
UMLS:C3469521:T047:DISO	Fanconi anemia, complementation group A|FANCA-Related Fanconi Anemia|Fanconi Anemia|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3468050:T191:DISO	Adult Anaplastic (Malignant) Meningioma
UMLS:C3468041:T047:DISO	Fanconi anemia, complementation group C|FACC|FANCC-Related Fanconi Anemia|FANCONI ANEMIA, COMPLEMEMENTATION GROUP C|FANCONI PANCYTOPENIA, TYPE 3|Fanconi Anemia|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3463992:T047:DISO	Epileptic encephalopathy, early infantile, 1|ARX-Related Disorders|INFANTILE SPASM SYNDROME, X-LINKED 1|OHTAHARA SYNDROME, X-LINKED|Tonic spasms with clustering, arrest of psychomotor development and hypsarrhythmia on EEG|West's syndrome|X-Linked Infantile Spasm Syndrome|X-linked infantile spasms|MedGen UID: 375779, Concept ID: C1845977, Finding
UMLS:C3463918:T191:DISO	EMBRYONAL CELL CARCINOMA
UMLS:C3463917:T047:DISO	Corticosterone methyloxidase type 2 deficiency|18-OXIDASE DEFICIENCY|ALDOSTERONE DEFICIENCY DUE TO DEFICIENCY OF STEROID 18-OXIDASE|ALDOSTERONE DEFICIENCY II|CMO II DEFICIENCY|Corticosterone Methyloxidase Type II Deficiency|HYPERRENINEMIC HYPOALDOSTERONISM, FAMILIAL, 1|STEROID 18-OXIDASE DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3463916:T047:DISO	Factor I deficiency
UMLS:C3463914:T047:DISO	Subacute myocarditis
UMLS:C3463897:T047:DISO	HYDATIDIFORM MOLE, RECURRENT, 1
UMLS:C3463824:T191:DISO	Myelodysplastic syndrome|MYELODYSPLASTIC SYNDROME, SUSCEPTIBILITY TO|Myelodysplastic Syndrome, Susceptibility, GATA2-Related|Myelodysplastic syndrome, somatic
UMLS:C3282904:T191:DISO	Liver Cavernous Hemangioma
UMLS:C3282903:T191:DISO	Metastatic Carcinoma in the Liver
UMLS:C3282896:T191:DISO	Glandular Papilloma
UMLS:C3282876:T191:DISO	Aleukemic Chronic Lymphocytic Leukemia
UMLS:C3281297:T047:DISO	Deafness, autosomal dominant 4b
UMLS:C3281289:T047:DISO	Trichohepatoenteric syndrome 2
UMLS:C3281288:T047:DISO	Preeclampsia/eclampsia 5
UMLS:C3281247:T047:DISO	Bent bone dysplasia syndrome
UMLS:C3281236:T047:DISO	Dystonia 21
UMLS:C3281235:T047:DISO	Baraitser-Winter Syndrome 2
UMLS:C3281234:T047:DISO	Combined oxidative phosphorylation deficiency 9
UMLS:C3281223:T047:DISO	Cerebellar ataxia, neuropathy, and vestibular areflexia syndrome
UMLS:C3281215:T047:DISO	Congenital stationary night blindness, type 1E|CSNB, COMPLETE, AUTOSOMAL RECESSIVE|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product|MedGen UID: 375779, Concept ID: C1845977, Finding
UMLS:C3281203:T191:DISO	Cutaneous telangiectasia and cancer syndrome, familial
UMLS:C3281202:T047:DISO	Mental retardation, autosomal dominant 13
UMLS:C3281201:T047:DISO	Mental retardation, autosomal dominant 12
UMLS:C3281200:T047:DISO	Leukoencephalopathy, brain calcifications, and cysts|LABRUNE SYNDROME|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3281192:T047:DISO	Infantile cerebellar-retinal degeneration
UMLS:C3281191:T047:DISO	Early infantile epileptic encephalopathy 13|SCN8A-Related Epilepsy|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3281160:T047:DISO	Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss|EHLERS-DANLOS SYNDROME, KYPHOSCOLIOTIC TYPE, 2|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3281153:T047:DISO	Efavirenz response|Efavirenz central nervous system toxicity, susceptibility to|Efavirenz, poor metabolism of
UMLS:C3281152:T047:DISO	Chromosome 16q22 deletion syndrome
UMLS:C3281138:T047:DISO	Chromosome 17q12 deletion syndrome|17q12 Microdeletion Syndrome|17q12 Recurrent Microdeletion Syndrome|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3281137:T047:DISO	Chromosome 17q12 duplication syndrome|17q12 Recurrent Microduplication|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3281128:T047:DISO	Fibrochondrogenesis 2
UMLS:C3281125:T047:DISO	Thrombocythemia 3|THROMBOCYTHEMIA 3, SOMATIC|THROMBOCYTOSIS 3|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product|MedGen UID: 107465, Concept ID: C0544886, Cell or Molecular Dysfunction
UMLS:C3281106:T047:DISO	Encephalomyopathy, mitochondrial, due to voltage-dependent anion channel deficiency
UMLS:C3281092:T047:DISO	Thrombophilia due to protein S deficiency, autosomal recessive
UMLS:C3281089:T047:DISO	Mirror movements 2
UMLS:C3281084:T047:DISO	Congenital order of glycosylation type 1r|DDOST-CDG (CDG-Ir)|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3281066:T047:DISO	Usher syndrome, type 3B|USHER SYNDROME, TYPE IIIB|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3281055:T047:DISO	Psychomotor retardation, epilepsy, and craniofacial dysmorphism
UMLS:C3281046:T047:DISO	Retinitis pigmentosa 64
UMLS:C3281045:T047:DISO	Cone-rod dystrophy 16|RETINAL DYSTROPHY WITH EARLY MACULAR INVOLVEMENT|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3281044:T047:DISO	Mental retardation, autosomal recessive 34|MENTAL RETARDATION, AUTOSOMAL RECESSIVE 34, WITH VARIANT LISSENCEPHALY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3281029:T047:DISO	Rigidity and multifocal seizure syndrome, lethal neonatal
UMLS:C3281027:T047:DISO	Microphthalmia, isolated, with coloboma 7|ocular coloboma|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3281002:T047:DISO	Retinitis pigmentosa 63
UMLS:C3281001:T047:DISO	Wiskott-Aldrich syndrome 2|WIPF1 DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280986:T047:DISO	Blood group, Junior system|JUNIOR BLOOD GROUP SYSTEM, JR(a-) PHENOTYPE
UMLS:C3280977:T047:DISO	Spastic ataxia 5, autosomal recessive
UMLS:C3280976:T047:DISO	Thrombophilia due to thrombomodulin defect
UMLS:C3280974:T047:DISO	Trigonocephaly 2|CRANIOSYNOSTOSIS, METOPIC|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280970:T047:DISO	Porencephaly 2
UMLS:C3280965:T047:DISO	Congenital cataracts, hearing loss, and neurodegeneration
UMLS:C3280953:T047:DISO	Hypertriglyceridemia, transient infantile
UMLS:C3280943:T047:DISO	Atrial septal defect 9
UMLS:C3280939:T047:DISO	Atrioventricular septal defect 5
UMLS:C3280914:T047:DISO	Familial cold autoinflammatory syndrome 3|ANTIBODY DEFICIENCY AND IMMUNE DYSREGULATION, PLCG2-ASSOCIATED|FAMILIAL ATYPICAL COLD URTICARIA|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280906:T047:DISO	Joubert syndrome 16|TMEM138-Related Joubert Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280899:T047:DISO	Joubert syndrome 12/15, digenic
UMLS:C3280898:T047:DISO	Joubert syndrome 9/15, digenic
UMLS:C3280897:T047:DISO	Joubert syndrome 15|CEP41-Related Joubert Syndrome|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280887:T047:DISO	Pyruvate dehydrogenase lipoic acid synthetase deficiency|HYPERGLYCINEMIA, LACTIC ACIDOSIS, AND SEIZURES|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280866:T047:DISO	Thiamine metabolism dysfunction syndrome 5 (episodic encephalopathy type)|ENCEPHALOPATHY, EPISODIC, DUE TO THIAMINE PYROPHOSPHOKINASE DEFICIENCY|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280856:T047:DISO	Ichthyosis, spastic quadriplegia, and mental retardation
UMLS:C3280845:T047:DISO	Charcot-Marie-Tooth disease, dominant intermediate E|CHARCOT-MARIE-TOOTH NEUROPATHY WITH FOCAL SEGMENTAL GLOMERULONEPHRITIS|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product|MedGen UID: 832438, Concept ID: CN227390, Intellectual Product
UMLS:C3280817:T047:DISO	Hypothyroidism, congenital, nongoitrous, 6
UMLS:C3280800:T047:DISO	Primary hypertrophic osteoarthropathy, autosomal recessive 2|PACHYDERMOPERIOSTOSIS, AUTOSOMAL RECESSIVE|PDP, AUTOSOMAL RECESSIVE|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280799:T047:DISO	Autosomal recessive cutis laxa type 3B|CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IIIB|DE BARSY SYNDROME B|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280798:T047:DISO	Autosomal recessive cutis laxa type 1B|CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB|EFEMP2-Related Cutis Laxa|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product
UMLS:C3280797:T047:DISO	Charcot-Marie-Tooth disease type 2P|CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2G|CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2P|CHARCOT-MARIE-TOOTH NEUROPATHY, TYPE 2P|CMT 2G|Charcot-Marie-Tooth Neuropathy Type 2G|MedGen UID: 141025, Concept ID: C0441748, Intellectual Product|MedGen UID: 141047, Concept ID: C0443147, Intellectual Product
UMLS:C3280795:T047:DISO	Hypoplastic left heart syndrome 2
UMLS:C3280794:T047:DISO	Cutis laxa, autosomal dominant 2
UMLS:C3280790:T047:DISO	Atrial septal defect 8
